county,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Carlow,106,,,,,,102,103,101,99,97,95,94,94
Cavan,221,,,,,,212,204,195,195,190,191,190,187
Clare,373,,,,,,323,307,306,306,290,287,290,289
Cork,"1,221",,,,,,"1,010",988,980,964,954,943,915,908
Donegal,453,,,,,,369,367,374,377,364,375,368,362
Dublin County & City,786,,,,,,761,741,750,770,772,765,773,776
Galway,574,,,,,,507,490,489,486,474,480,477,464
Kerry,503,,,,,,460,445,449,454,435,445,439,443
Kildare,191,,,,,,187,182,175,179,183,178,179,172
Kilkenny,226,,,,,,206,202,197,193,191,194,195,192
Laois,157,,,,,,122,124,124,128,123,128,123,124
Leitrim,140,,,,,,110,109,113,110,108,107,106,104
Limerick,478,,,,,,391,376,362,361,359,357,356,345
Longford,113,,,,,,95,89,87,91,89,90,92,91
Louth,227,,,,,,188,192,196,185,182,190,189,192
Mayo,467,,,,,,386,381,376,376,372,370,364,369
Meath,210,,,,,,211,210,199,198,195,201,207,205
Monaghan,121,,,,,,108,104,109,105,105,101,102,93
Offaly,164,,,,,,132,126,134,126,126,130,127,127
Roscommon,254,,,,,,218,211,210,208,202,198,196,196
Sligo,179,,,,,,153,149,148,148,145,140,142,142
Tipperary,525,,,,,,445,439,431,428,422,412,410,407
Waterford,260,,,,,,224,224,226,224,220,221,219,213
Westmeath,213,,,,,,171,173,168,164,169,175,170,166
Wexford,297,,,,,,261,269,263,267,265,252,260,256
Wicklow,158,,,,,,157,154,153,153,150,150,157,155
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.11.13,2.12.13,6.1.14,3.2.14,5.3.14,7.4.14,,,,,,,,
,58.0%,69.7%,78.4%,82.5%,86.8%,90.0%,,,,,,,,
,,,,,,,,,,,,,,
,2.5.14,4.6.14,30.6.14,1.8.14,31.8.14,30.9.14,,,,,,,,
,91.6%,93.4%,94.5%,95.8%,96.0%,99.7%,,,,,,,,